,line_name,start_stop,end_stop,bounds,distance,station_name,station_coords,station_sequence
0,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,山东永裕医药,"119.141388,36.636044",1
1,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,董家村,"119.141106,36.63929",2
2,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,田家村,"119.140678,36.642769",3
3,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,文化南路凤凰街路口,"119.140228,36.646385",4
4,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,王家庄,"119.139526,36.652054",5
5,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,武家庄,"119.139229,36.656139",6
6,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,育华中学,"119.138977,36.659115",7
7,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,车站村,"119.138542,36.662254",8
8,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,文化南路金山街路口,"119.138252,36.665874",9
9,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,福田重工,"119.137756,36.671394",10
10,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,庄家工业园,"119.134026,36.672581",11
11,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,鸢飞路宝通街路口,"119.130196,36.673172",12
12,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,鸢飞路清溪街路口,"119.128571,36.681297",13
13,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,鸢飞路光明街路口北,"119.128151,36.686172",14
14,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,鸢飞路樱前街路口,"119.128029,36.688282",15
15,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,鸢飞路健康街路口,"119.127792,36.691338",16
16,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,鸢飞路幸福街路口,"119.127945,36.696102",17
17,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,人民医院,"119.128273,36.700005",18
18,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,鸢飞路行政街路口,"119.12851,36.703056",19
19,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,胜利街鸢飞路路口,"119.12664,36.70673",20
20,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,胜利街潍州路路口,"119.122406,36.706825",21
21,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,市中医院,"119.121056,36.709267",22
22,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,苇湾社区,"119.118416,36.712692",23
23,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,泰华城,"119.11335,36.712612",24
24,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,亚星桥,"119.10894,36.711716",25
25,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,胜利街和平路路口东,"119.109451,36.707264",26
26,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,潍坊市妇幼保健院,"119.108429,36.703342",27
27,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,人民公园,"119.106453,36.700096",28
28,1路/K1路(山东永裕医药--火车站),山东永裕医药,火车站,"119.100632,36.635993;119.141482,36.712765",13.63227,火车站,"119.100922,36.698944",29
0,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,坊子汽车南站,"119.156944,36.59388",1
1,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,长宁街北海路路口西,"119.153763,36.596088",2
2,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,南溪公园,"119.149811,36.595901",3
3,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,长宁街行政街路口,"119.140549,36.595982",4
4,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,十三公里,"119.133057,36.597401",5
5,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路恒安街路口,"119.133278,36.601292",6
6,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,后宁村,"119.133507,36.605556",7
7,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,国家储备粮库,"119.133591,36.607292",8
8,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,徐家大路村,"119.133781,36.611435",9
9,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,鲁能足球学校,"119.133987,36.615601",10
10,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路潍胶街路口南,"119.133804,36.621822",11
11,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路蓝翔街路口,"119.132469,36.630035",12
12,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,廿里堡村,"119.131523,36.6381",13
13,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,广潍集团,"119.131088,36.642323",14
14,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路凤凰街路口,"119.130096,36.64912",15
15,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,金宝乐园,"119.129326,36.654572",16
16,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,金泉寺,"119.128616,36.659546",17
17,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,金宝生态花园,"119.127106,36.66412",18
18,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路金宝街路口,"119.125183,36.667397",19
19,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路宝通街路口,"119.121994,36.672787",20
20,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,北王村,"119.119896,36.676292",21
21,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路健康街路口,"119.119431,36.688221",22
22,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路健康街路口北,"119.119484,36.692055",23
23,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路幸福街路口,"119.119858,36.696701",24
24,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路民生街路口,"119.120232,36.700943",25
25,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路行政街路口,"119.120384,36.703121",26
26,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,东苑公园,"119.118721,36.706905",27
27,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,风筝广场,"119.114265,36.706921",28
28,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,青年路胜利街路口,"119.109993,36.705624",29
29,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍坊市妇幼保健院,"119.108444,36.703373",30
30,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,人民公园,"119.106453,36.700096",31
31,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,火车站,"119.098572,36.699665",32
0,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,文家村,"118.981117,36.734005",1
1,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,卧龙街殷大路路口,"118.992897,36.73391",2
2,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,小庄,"118.998001,36.733852",3
3,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,卧龙街腾飞路路口,"119.006233,36.733727",4
4,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍城经济开发区中学,"119.014549,36.733582",5
5,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍城经济开发区人民医院,"119.02079,36.733562",6
6,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍城政务服务中心,"119.024147,36.733562",7
7,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,考家村,"119.026711,36.733582",8
8,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍城区政府,"119.02935,36.728821",9
9,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,彩虹路北宫街路口,"119.02919,36.722683",10
10,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,豪德广场客运站,"119.030289,36.717224",11
11,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,豪德广场,"119.035782,36.717239",12
12,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,北小圩河,"119.040924,36.717083",13
13,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,亿家安蔬果市场,"119.049355,36.716652",14
14,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,中天棉麻,"119.054268,36.716404",15
15,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街长松路路口西,"119.060486,36.71608",16
16,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街长松路路口,"119.063263,36.715927",17
17,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街三里庄路路口,"119.069016,36.71563",18
18,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街清平路路口,"119.075058,36.715069",19
19,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街安顺路路口,"119.082397,36.713772",20
20,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,公交国旅,"119.087997,36.713795",21
21,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街永安路路口,"119.091057,36.713692",22
22,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街月河路路口,"119.094658,36.713512",23
23,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,郭味蕖美术馆,"119.098061,36.713299",24
24,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街向阳路路口,"119.104462,36.712891",25
25,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍州剧场,"119.10759,36.712734",26
26,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,亚星桥,"119.108978,36.711868",27
27,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,和平路胜利街路口南,"119.106979,36.707054",28
28,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,人民路小商品城,"119.103928,36.703804",29
29,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,火车站,"119.098663,36.699821",30
0,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,杨家埠民俗大观园,"119.222786,36.758595",1
1,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,杨家埠,"119.222122,36.763882",2
2,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,渤海路通亭街路口,"119.221428,36.769402",3
3,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,益新街渤海路路口,"119.220619,36.771721",4
4,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,寒亭农行,"119.216507,36.771385",5
5,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,寒亭实验小学,"119.210648,36.770916",6
6,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,益新街幸福路路口西,"119.204109,36.77037",7
7,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,北平旺村,"119.20018,36.770035",8
